1	0	10000000
1	10000000	20000000
1	20000000	30000000
1	30000000	40000000
1	40000000	50000000
1	50000000	60000000
1	60000000	70000000
1	70000000	80000000
1	80000000	90000000
1	90000000	100000000
1	100000000	110000000
1	110000000	120000000
1	120000000	130000000
1	130000000	140000000
1	140000000	150000000
1	150000000	160000000
1	160000000	170000000
1	170000000	180000000
1	180000000	190000000
1	190000000	200000000
1	200000000	210000000
1	210000000	220000000
1	220000000	230000000
1	230000000	240000000
1	240000000	249250621
2	0	10000000
2	10000000	20000000
2	20000000	30000000
2	30000000	40000000
2	40000000	50000000
2	50000000	60000000
2	60000000	70000000
2	70000000	80000000
2	80000000	90000000
2	90000000	100000000
2	100000000	110000000
2	110000000	120000000
2	120000000	130000000
2	130000000	140000000
2	140000000	150000000
2	150000000	160000000
2	160000000	170000000
2	170000000	180000000
2	180000000	190000000
2	190000000	200000000
2	200000000	210000000
2	210000000	220000000
2	220000000	230000000
2	230000000	240000000
2	240000000	243199373
3	0	10000000
3	10000000	20000000
3	20000000	30000000
3	30000000	40000000
3	40000000	50000000
3	50000000	60000000
3	60000000	70000000
3	70000000	80000000
3	80000000	90000000
3	90000000	100000000
3	100000000	110000000
3	110000000	120000000
3	120000000	130000000
3	130000000	140000000
3	140000000	150000000
3	150000000	160000000
3	160000000	170000000
3	170000000	180000000
3	180000000	190000000
3	190000000	198022430
4	0	10000000
4	10000000	20000000
4	20000000	30000000
4	30000000	40000000
4	40000000	50000000
4	50000000	60000000
4	60000000	70000000
4	70000000	80000000
4	80000000	90000000
4	90000000	100000000
4	100000000	110000000
4	110000000	120000000
4	120000000	130000000
4	130000000	140000000
4	140000000	150000000
4	150000000	160000000
4	160000000	170000000
4	170000000	180000000
4	180000000	190000000
4	190000000	191154276
5	0	10000000
5	10000000	20000000
5	20000000	30000000
5	30000000	40000000
5	40000000	50000000
5	50000000	60000000
5	60000000	70000000
5	70000000	80000000
5	80000000	90000000
5	90000000	100000000
5	100000000	110000000
5	110000000	120000000
5	120000000	130000000
5	130000000	140000000
5	140000000	150000000
5	150000000	160000000
5	160000000	170000000
5	170000000	180000000
5	180000000	180915260
6	0	10000000
6	10000000	20000000
6	20000000	30000000
6	30000000	40000000
6	40000000	50000000
6	50000000	60000000
6	60000000	70000000
6	70000000	80000000
6	80000000	90000000
6	90000000	100000000
6	100000000	110000000
6	110000000	120000000
6	120000000	130000000
6	130000000	140000000
6	140000000	150000000
6	150000000	160000000
6	160000000	170000000
6	170000000	171115067
7	0	10000000
7	10000000	20000000
7	20000000	30000000
7	30000000	40000000
7	40000000	50000000
7	50000000	60000000
7	60000000	70000000
7	70000000	80000000
7	80000000	90000000
7	90000000	100000000
7	100000000	110000000
7	110000000	120000000
7	120000000	130000000
7	130000000	140000000
7	140000000	150000000
7	150000000	159138663
8	0	10000000
8	10000000	20000000
8	20000000	30000000
8	30000000	40000000
8	40000000	50000000
8	50000000	60000000
8	60000000	70000000
8	70000000	80000000
8	80000000	90000000
8	90000000	100000000
8	100000000	110000000
8	110000000	120000000
8	120000000	130000000
8	130000000	140000000
8	140000000	146364022
9	0	10000000
9	10000000	20000000
9	20000000	30000000
9	30000000	40000000
9	40000000	50000000
9	50000000	60000000
9	60000000	70000000
9	70000000	80000000
9	80000000	90000000
9	90000000	100000000
9	100000000	110000000
9	110000000	120000000
9	120000000	130000000
9	130000000	140000000
9	140000000	141213431
10	0	10000000
10	10000000	20000000
10	20000000	30000000
10	30000000	40000000
10	40000000	50000000
10	50000000	60000000
10	60000000	70000000
10	70000000	80000000
10	80000000	90000000
10	90000000	100000000
10	100000000	110000000
10	110000000	120000000
10	120000000	130000000
10	130000000	135534747
11	0	10000000
11	10000000	20000000
11	20000000	30000000
11	30000000	40000000
11	40000000	50000000
11	50000000	60000000
11	60000000	70000000
11	70000000	80000000
11	80000000	90000000
11	90000000	100000000
11	100000000	110000000
11	110000000	120000000
11	120000000	130000000
11	130000000	135006516
12	0	10000000
12	10000000	20000000
12	20000000	30000000
12	30000000	40000000
12	40000000	50000000
